key,source,target
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndBComment_040,I will become a pupa...,Bir tırtıl kozası olacağım...
D_Ch11_THS_StringTable/Str_Ch11_THS_EnvInfo_PuzzleTip_010,"Prove your intent with the crests three.
Show what lies deep within your heart.

Let the line of foxes guide you.
Offer the crests and lay bare your soul.","Niyetini üç arma ile kanıtla.
Kalbinin derinliklerinde yatanı göster.

Tilki hattının sana yol göstermesine izin ver.
Armaları sun ve ruhunu açığa çıkar."
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndCComment_030,"Sakuko... Rinko... Shu... 
None of them are fools.","Sakuko... Rinko... Shu... 
Hiçbiri aptal değil."
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_GoneFox_010,The banquet... Has it come to a close...?,Ziyafet... Sona mı erdi...?
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndDComment_020,Gratitude isn't something you demand...,Minnettarlık talep edebileceğin bir şey değildir...
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndCComment_010,Ebisugaoka... My...town...,Ebisugaoka... Benim...şehrim...
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndBComment_010,I...am not afraid...,Ben... korkmuyorum...
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndDComment_010,O-Our clan...?,K-Klanımız mı...?
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndCComment_060,Why...am I here...? Urgh...,Neden...buradayım...? Öf...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_GoneFox_020,"Everyone must be…
wishing for the festivities to last some more.","Herkes…
kutlamaların biraz daha sürmesini diliyor olmalı."
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndCComment_020,I may be uncultured... but still... Even so...,Belki kültürsüzüm... ama yine de... Öyle olsa bile...
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndDComment_030,I acknowledge my foolishness... But don't say such things to my parents and friends...,Ahmaklığımla yüzleşiyorum... Ama böyle şeyleri aileme ve arkadaşlarıma söyleme...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_EndAComment_030,"I will forget... 
Nothing before yesterday matters...","Unutacağım... 
Dünden öncesinin hiçbir önemi yok..."
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_EndAComment_020,I'll sever the ties... My family...is here...,Bağları koparacağım... Ailem... burada...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_EndAComment_010,I will cleanse it all...the filth of this world...,Hepsini temizleyeceğim... bu dünyanın pisliğini...
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndCComment_040,"Whether or not I feel joy...
should be up to me...","Sevinç duyup duymamam...
bana kalmalı..."
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndDComment_050,Am I just soil in which you can sow your oats? Don't...be ridiculous...,Ben sadece yulafınızı ektiğiniz toprak mıyım? Saçmalama...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_EndAComment_060,"I offer all of me... 
I belong to... I am his...","Kendimi tamamen sunuyorum... 
Aitim... Ben onunum..."
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndBComment_030,Yes... Here...it all begins...,Evet... Burada...her şey başlıyor...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_EndAComment_050,Yes... I will be reborn...,Evet... Yeniden doğacağım...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_EndAComment_040,"Yes... I will die. 
Shimizu Hinako will cease to exist...","Evet... Öleceğim. 
Shimizu Hinako var olmaktan çıkacak..."
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndBComment_050,Yes... I will become a cocoon…,Evet... Bir kozaya dönüşeceğim…
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndCComment_050,"The name Shimizu... The name Hinako... 
There is nothing wrong about them...","Shimizu ismi... Hinako ismi... 
Onlarda yanlış olan hiçbir şey yok..."
D_Ch11_THS_StringTable/Str_Ch11_THS_EnvInfo_EndCPuzzleTip_010,"The White Bird flies free from her cage.
Her shadow follows close behind her.

The Fox raises a lantern as he watches them fly away.
There is nothing he can do now.","Beyaz Kuş kafesinden özgürce uçuyor.
Gölgesi hemen arkasından geliyor.

Tilki, onların uçup gidişini izlerken bir fener kaldırıyor.
Artık yapabileceği hiçbir şey yok."
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_Chooseroom_010,Incredible...all of them...,İnanılmaz... hepsi de...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_PieceB_010,Innocent and afraid...,Masum ve korkmuş...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_PieceC_010,This...must be your insignia...,Bu... senin simgen olmalı...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_Battleroom_010,"This...isn't the right way, is it?","Bu...doğru yol değil, değil mi?"
D_Ch11_THS_StringTable/Str_CH11_THS_VO_EndBComment_060,May we both live happily ever after...,Umarım ikimiz de sonsuza dek mutlu yaşarız...
D_Ch11_THS_StringTable/Str_Ch11_THS_VO_PieceA_010,A black sparrow...,Siyah bir serçe…
D_Ch11_THS_StringTable/Str_Ch11_THS_EnvInfo_EndAPuzzleTip_010,"The Black Bird wishes to take the White Bird.
The White Bird wishes to resist.

The Fox brings along his followers in triumph.
He notices not the two birds in conflict.","Kara Kuş, Beyaz Kuşu almak ister.
Beyaz Kuş direnmek ister.

Tilki, takipçilerini zaferle getiriyor.
Çatışan iki kuşu fark etmiyor."
D_Ch11_THS_StringTable/Str_Ch11_THS_EnvInfo_EndBPuzzleTip_010,"The Black Bird is in the cage at last.
The satisfied Fox spreads his fan.

The White Bird remains in a daze.
All had been swept away as she slept.","Kara Kuş nihayet kafeste.
Memnun Tilki yelpazesini açar.

Beyaz Kuş sersemlemiş halde kalır.
O uyurken her şey silinip gitmişti."
D_Ch11_THS_StringTable/Str_Ch11_THS_Thoughts_PuzzleDoor_030,(I see some notches... Does something go in them?),(Bazı çentikler görüyorum... İçlerine bir şey mi girmeli?)
D_Ch11_THS_StringTable/Str_Ch11_THS_Thoughts_PuzzleDoor_020,(No good... Are these the right spots?),(İşe yaramadı... Doğru yerler mi bunlar?)
D_Ch11_THS_StringTable/Str_Ch11_THS_Thoughts_PaperLockedDoor_010,(It's sealed with a talisman...),(Bir tılsımla mühürlenmiş...)
D_Ch11_THS_StringTable/Str_Ch11_THS_Thoughts_PuzzleDoor_010,(More emblems...),(Daha fazla amblem...)
D_Ch11_THS_StringTable/Str_Ch11_THS_Thoughts_PaperLockedDoor_020,(How do I break this seal...?),(Bu mührü nasıl kırarım...?) 
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_StartEndingD_010,"What the hell are you? 
Why are you doing this?!","Siz nesiniz böyle? 
Bunu neden yapıyorsunuz?!"
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_Start_010,All of this... All of this is YOUR fault!,Bütün bunlar... Bütün bunlar SENİN suçun!
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_GoingDown_010,Look at this... It's all a mess!,Şuna bakın... Her yer darmadağın!
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_EndingDFirstBattleOver_010,It went down the mountain!,Dağdan aşağı indi!
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_EndingDSecondMeet_010,It's heading for town? Why would it do that?,Kasabaya doğru mu gidiyor? Neden öyle yapsın ki?
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_EndingDFirstMeet_010,Why are you running? Where are you going?,Neden koşuyorsun? Nereye gidiyorsun?
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_FirstMeet_020,"I won't let you get away with this!
Never! NEVER!","Bununla yanına kâr kalmayacak!
Asla! ASLA!"
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_SecondMeet_020,I'll slaughter you!,Seni katledeceğim!
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_EndingDGoingDown_010,"You've destroyed my world... 
Are you not satisfied?","Benim dünyamı yok ettin... 
Tatmin olmadın mı?"
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_EndingDGoingDown2_010,"Who's behind this?! 
I'm going to make them suffer!","Bunun arkasında kim var?! 
Onlara çektireceğim!"
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_FirstBattleOver_010,"Die!
I want everything standing in my way DEAD!","Öl!
Önümde duran her şeyin ÖLÜ olmasını istiyorum!"
D_Ch12_HLS_StringTable/Str_Ch12_HLS_VO_GoingDown2_010,"Give it back!
Give back everything you taken from me!","Geri ver!
Benden aldığın her şeyi geri ver!"
D_Ch12_OLD_StringTable/Str_Ch12_OLD_VO_SeeLeaflet_010,...I won't end up like this... Ever!,...Böyle sona ermeyeceğim... Asla!
D_Ch12_OLD_StringTable/Str_Ch12_OLD_EnvInfo_MessageA_010,"Name:
Shimizu Hinako

Last Seen Wearing:
...colored... uniform... colored... skirt.

Details of Disappearance:
Left home... met with... wearing a...","İsim:
Shimizu Hinako

Son Görüldüğünde Giydiği:
...renkli... üniforma... renkli... etek.

Kaybolma Detayları:
Evden ayrıldı... ile buluştu... üzerinde bir..."
D_Ch12_OLD_StringTable/Str_Ch12_OLD_VO_EDDSeeLeaflet_010,It's no use. You can't mess with my head.,Faydası yok. Kafamı karıştıramazsın.
D_Ch12_OLD_StringTable/Str_Ch12_OLD_VO_ThirdMeet_010,Fight! It's either you or me!,Dövüş! Ya sen ya da ben!
D_Ch12_OLD_StringTable/Str_Ch12_OLD_VO_InTown_010,No! NO! Leave my town alone!,Hayır! HAYIR! Şehrimi rahat bırak!
D_Ch12_OLD_StringTable/Str_Ch12_OLD_VO_CatchUp_010,Stop! Come back here and face me!,Dur! Geri gel ve benimle yüzleş!
D_Ch12_OLD_StringTable/Str_Ch12_OLD_VO_EDDThirdMeet_010,Now I get it... That's where it all started!,Şimdi anlıyorum... Her şeyin başladığı yer orası!
D_Ch12_OLD_StringTable/Str_Ch12_OLD_VO_EDDInTown_010,The corruption's spreading. I have to hurry!,Bozulma yayılıyor. Acele etmeliyim!
D_CH13_WED_StringTable/Str_Ch13_WED_VO_Selftalk_020,Child of the mortal world. You are most fortunate. Heh heh heh...,Ölümlü dünyanın çocuğu. Çok şanslısın. Heh heh heh...
D_CH13_WED_StringTable/Str_Ch13_WED_VO_FoxTalking_B,Oh my... She truly is a vision...,Aman Tanrım... Gerçekten de bir görüntü...
D_CH13_WED_StringTable/Str_Ch13_WED_VO_Selftalk_030,Such a feeble bride...,Ne kadar da zayıf bir gelin...
D_CH13_WED_StringTable/Str_Ch13_WED_VO_Selftalk_040,You are ill-fit for this clan.,Bu klan için uygun değilsin.
D_CH13_WED_StringTable/Str_Ch13_WED_VO_Selftalk_010,Welcome. May you find peace in the days ahead...,Hoş geldin. Umarım önümüzdeki günlerde huzur bulursun...
D_CH13_WED_StringTable/Str_Ch13_WED_VO_FoxTalking_C,Fine feathers make fine birds...,Güzel tüyler güzel kuşlar yaratır...
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDDDollTalk2_010,I am the only one who truly cares about Shimizu Hinako's happiness.,Shimizu Hinako'nun mutluluğunu gerçekten önemseyen tek kişi benim.
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDDDollTalk3_010,"If you dare submit to the foxes, I shall curse you.","Eğer tilkilere boyun eğmeye cüret edersen, seni lanetleyeceğim."
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDADollTalk3_010,You won't be able to stay as you are now.,Artık olduğun gibi kalamayacaksın.
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDADollTalk2_010,You won't be able to see your father or mother anymore.,Artık anneni veya babanı göremeyeceksin.
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDBDollTalk2_010,You're being manipulated. Come back to your senses.,Manipüle ediliyorsun. Kendine gel.
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDCDollTalk2_010,You still resist? How pointless.,Hâlâ direniyor musun? Ne kadar da anlamsız.
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_KillDoll3_010,Almost there... Almost...home...,Neredeyse vardık... Neredeyse...evde...
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_KillDoll2_010,Time...to go home.,Vakit...eve gitme vakti.
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_GoingUp_010,"The world is celebrating me... 
I should go see my parents.","Dünya beni kutluyor... 
Gidip anne babamı görmeliyim."
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDCDollTalk3_010,Shimizu Hinako shall live. You shall die.,Shimizu Hinako yaşayacak. Sen öleceksin.
D_Ch14_HLS_StringTable/Str_Ch14_HLS_VO_EDBDollTalk3_010,There's no coming back.,Geri dönüşü yok.
D_Ch14_OLD_StringTable/Str_Ch14_OLD_VO_EDADollTalk_010,Don't go that way.,O tarafa gitme.
D_Ch14_OLD_StringTable/Str_Ch14_OLD_VO_KillDoll1_010,Do not...get in my way...,Sakın... yoluma çıkma...
D_Ch14_OLD_StringTable/Str_Ch14_OLD_VO_EDBDollTalk_010,Don't believe the foxes.,Tilkilere inanma.
D_Ch14_OLD_StringTable/Str_Ch14_OLD_VO_EDCDollTalk_010,"If not for your futile efforts, no one would have been hurt.","Senin beyhude çabaların olmasaydı, kimse zarar görmezdi."
D_Ch14_OLD_StringTable/Str_Ch14_OLD_VO_SeeLeaflet_010,Yes... This is...my decision...,Evet... Bu... benim kararım...
D_Ch14_OLD_StringTable/Str_Ch14_OLD_VO_EDDDollTalk_010,Play with me. Forever.,Benimle oyna. Sonsuza dek.
D_Ch14_OLD_StringTable/Str_Ch14_OLD_VO_Start_010,The town... It's beautiful...,Kasaba... Çok güzel...
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_LastBattle_010,"Damn you, monsters! No matter how many of you there are, you can't stop me!","Lanet olsun size, canavarlar! Ne kadar çok olursanız olun, beni durduramazsınız!"
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_EDBCorridor_010,Just a bit more...,Sadece biraz daha...
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_EDACorridor_010,You're in my way again.,Yine yoluma çıkıyorsun.
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_EDDCorridor_010,I won't let things go your way.,İşlerin senin istediğin gibi gitmesine izin vermeyeceğim.
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_EDDCorridor_020,"I've figured it out. 
I know what it is that I'm after...","Anladım. 
Ne aradığımı biliyorum..."
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_EDCCorridor_010,"Sorry, but I've made up my mind.","Üzgünüm, ama kararımı verdim."
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_EDACorridor_020,"Fine... I'll keep doing this... 
I'll paint this place red with your blood!","Güzel... Bunu yapmaya devam edeceğim... 
Burası sizin kanınızla kıpkırmızı olacak!"
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_BattleReady_010,Stay out of my way!,Çekil önümden!
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_EDCCorridor_020,I won't...be stopped.,Durdurulmayacağım...
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_Determined_010,"Let's do this, Shimizu Hinako.","Hadi yapalım şunu, Shimizu Hinako."
D_Ch15_OCR_StringTable/Str_Ch15_OCR_VO_NoTurningBack_010,This is it. No turning back now.,İşte bu. Artık geri dönüş yok.
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_BattleStart_010,"You won't let me pass? Well, you asked for it!","Beni geçirmemeye mi niyetlisin? Peki, bunu sen istedin!"
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDDDoll_010,"Who are you? 
Why are you trying to control me?","Sen kimsin? 
Neden beni kontrol etmeye çalışıyorsun?"
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDCDoll_020,"Thank you for helping me. 
Because of you, I'm finally awake.","Bana yardım ettiğin için teşekkür ederim. 
Sayende sonunda uyandım."
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDADoll_020,"Now you...
You'll help me destroy it all, won't you? ","Şimdi sen...
Her şeyi yok etmeme yardım edeceksin, değil mi?"
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDCTorii_010,These twisted shimenawa are so disturbing...,Bu karmaşık shimenawa'lar çok rahatsız edici...
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDDTorii_010,The shimenawa are twisted...just like me...,Shimenawa halatları dolanmış...tıpkı benim gibi...
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDDTorii_020,I need to keep moving. I can't stop now.,İlerlemeye devam etmeliyim. Şimdi duramam.
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDATorii_010,"The road twists and turns... 
It's like I'm walking through my head.","Yol kıvrılıyor ve dönüyor... 
Sanki kendi zihnimin içinde yürüyormuşum gibi."
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDBDoll_010,Thank you for all your help in the past...,Geçmişte bana yaptığınız tüm yardımlar için teşekkür ederim...
D_Ch15_TOR_StringTable/Str_Ch15_TOR_VO_EDBTorii_010,Where... Where am I being led...?,Nereye... Nereye götürülüyorum...?
D_Ch15_TOR_StringTable/Str_Ch15_TOR_Thought_NoTurningBack_010,(No point in turning back now.),(Artık geri dönmenin anlamı yok.)
D_Ch16A_ALW_StringTable/Str_Ch16A_ALW_VO_EnemyCallA_030,Shut up! Out of my way!,Kapa çeneni! Çekil önümden!
D_Ch16A_ALW_StringTable/Str_Ch16A_ALW_VO_EnemyCallA_010,What the hell are you doing?!,Ne yapıyorsun sen?!
D_Ch16A_ALW_StringTable/Str_Ch16A_ALW_VO_EnemyCallA_020,Hey! Are you insane?!,Hey! Sen aklını mı kaçırdın?!
D_Ch16A_ALW_StringTable/Str_Ch16A_ALW_VO_EnemyCallB_010,"Wait, what is going on?","Bekle, neler oluyor?"
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_EnemyCallB_010,You're taking this too far!,Çok ileri gidiyorsun!
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_KotoCallC_010,"I thought I showed you...
I understand you. I care for you...","Sana gösterdiğimi sanmıştım...
Seni anlıyorum. Seni önemsiyorum..."
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_HinakoYellA_020,Leave me... Leave US...the hell ALOOONE!,Beni bırak... BİZİ bırak... cehennemin dibine kadar YALNIZ!
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_HinakoYellA_010,You'll regret getting in my way!,Yoluma çıktığına pişman olacaksın!
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_KotoCallA_010,"Wait... Everyone, just hold on... 
I'll speak to Hinako.","Bekleyin... Herkes, sadece bekleyin... 
Hinako ile konuşacağım."
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_EnemyCallA_010,What are you talking about?! Are you crazy?!,Neden bahsediyorsun?! Sen deli misin?!
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_EnemyCallB_020,Shut up! SHUT THE HELL UP!,Kapa çeneni! KES ŞUNU CEHENNEME KADAR!
D_Ch16A_UDG_StringTable/Str_Ch16A_UGD_VO_KotoCallB_010,"Hinako, why...? Why are you doing this?","Hinako, neden...? Bunu neden yapıyorsun?"
D_Ch16A_WHL_StringTable/Str_Ch16A_WHL_VO_HinakoB_010,Just need to hold out a bit longer...,Sadece biraz daha dayanmam gerek...
D_CommonThoughts_StringTable/Str_Common_Thoughts_DoorLocked_D,(...I need a key.),(...Bir anahtara ihtiyacım var.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_RummageEmpty_D,(Empty...),(Boş...)
D_CommonThoughts_StringTable/Str_Common_Thoughts_PuzzleUnsolved_A,(It's not working...),(İşe yaramıyor...)
D_CommonThoughts_StringTable/Str_Common_Thoughts_DoorBlocked_D,(No good. It won't budge.),(İşe yaramaz. Yerinden oynamıyor.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_FindNothing_B,(Can't use any of this.),(Bunların hiçbirini kullanamam.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_PuzzleUnsolved_B,(Hmm... Something must be off.),(Hmm... Bir şeyler ters gitmeli.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_DoorLocked_A,(I need to find a key...),(Bir anahtar bulmam gerek...)
D_CommonThoughts_StringTable/Str_Common_Thoughts_PuzzleUnsolved_C,(Did I get something wrong...?),(Bir şeyi yanlış mı yaptım...?).
D_CommonThoughts_StringTable/Str_Common_Thoughts_FindNothing_A,(It's empty...),(Boş...) 
D_CommonThoughts_StringTable/Str_Common_Thoughts_RummageEmpty_A,(Can't find anything useful.),(Faydalı bir şey bulamıyorum.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_FindNothing_E,(Nothing.),(Hiçbir şey.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_DoorLocked_B,(It won't open without a key.),(Anahtar olmadan açılmaz.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_LockedPinDoor_010,(Oinari-sama's emblem...),(Oinari-sama'nın amblemi...)
D_CommonThoughts_StringTable/Str_Common_Thoughts_RummageEmpty_C,(Nothing here.),(Burada hiçbir şey yok.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_SealedPinBox_010,(This box has some sort of seal on it...),(Bu kutunun üzerinde bir tür mühür var...)
D_CommonThoughts_StringTable/Str_Common_Thoughts_DoorBlocked_A,(It's stuck.),(Takılı kaldı.)
D_CommonThoughts_StringTable/Str_Common_Thoughts_DoorBlocked_C,(Can't open it.),(Açılamıyor.)
D_CS_StringTable/Str_SC1004_L1_0100_Hina,"Then what about the times
he yelled and threw things across the room?","Peki ya bağırdığı ve odanın
içinde eşyaları fırlattığı zamanlar?"
D_CS_StringTable/Str_SC0103_L1_0060_Hina,Say something.,Bir şeyler söyle.
D_CS_StringTable/Str_SC0701_L1_0010_Hina,Shu...?,Shu...?
D_CS_StringTable/Str_SC0701_L1_0020_Hina,Rinko...?,Rinko...?
D_CS_StringTable/Str_SC0103_L1_0150_Rinko,"And Hinako, too.",Ve Hinako da.
D_CS_StringTable/Str_SC1611_L1_0200_Radio,.....residents of Ebisugaoka have been ordered to evacuate. Earlier we spoke......,.....Ebisugaoka sakinlerine tahliye emri verildi. Daha önce konuşmuştuk......
D_CS_StringTable/Str_SC0105_L1_0120_Hina,Go home.,Evine dön.
D_CS_StringTable/Str_SC0301_L1_0210_Shuu,"Oh, uh, she just said she needed to talk to me 
about something, but, y'know, I—","Ah, şey, sadece benimle bir şey hakkında 
konuşması gerektiğini söyledi, ama, biliyorsun, ben—"
D_CS_StringTable/Str_SC1102_L2_0130_Junko,"Don't tell me you think you can
let it exist like this.","Sakın bana böyle var olmasına
izin verebileceğini söyleme."
D_CS_StringTable/Str_SC1102_L1_0110_Junko,I see.,Anlıyorum.
D_CS_StringTable/Str_SC0501_L1_0220_Hina,Leave the back to me...,Arkayı bana bırak...
D_CS_StringTable/Str_SC0702_L1_0020_Hina,"The plan's to meet up... at your place,
right...?","Plan, buluşmak... senin evinde,
değil mi...?"
D_CS_StringTable/Str_SC0203_L1_0100_Hina,I think.,Sanırım.
D_CS_StringTable/Str_LQ1603_L1_0370_Shuu,"I think I'm more scared of girls
than aliens at this point...","Sanırım bu noktada uzaylılardan çok kızlardan
korkuyorum..."
D_CS_StringTable/Str_SC1611_L1_0160_Radio,......Geysers have......,......Gayzerler var......
D_CS_StringTable/Str_SC1611_L1_0180_Radio,......the accompanying hydrogen sulfide gas continue to increase......,......eşlik eden hidrojen sülfür gazı artmaya devam ediyor......
D_CS_StringTable/Str_SC1611_L1_0170_Radio,......and over the past three weeks have shown......,......ve son üç haftadır gösteriyorlar......
D_CS_StringTable/Str_SC1611_L1_0120_Hina,Thank you...partner.,Teşekkürler... ortak.
D_CS_StringTable/Str_SC0501_L1_0120_Hina,Let's go. There's no time to waste.,Hadi gidelim. Kaybedecek zaman yok.
D_CS_StringTable/Str_SC0802_L1_0060_Koto,Does it still hurt?,Hâlâ acıyor mu?
D_CS_StringTable/Str_SC0106_L2_0010_Shuu,Hinako!,Hinako!
D_CS_StringTable/Str_SC0405_L1_0060_Doll,"""Don’t trust the Fox Mask.""","""Tilki Maskesi'ne güvenme."""
D_CS_StringTable/Str_SC0303_L1_0490_Doll,"""Beware Rinko""","""Rinko'dan sakının"""
D_CS_StringTable/Str_SC0805_L1_0180_Doll,"""Remember! Your name is Shimizu Hinako!""","""Unutma! Adın Shimizu Hinako!"""
D_CS_StringTable/Str_SC0801_L1_0090_Doll,"""Run! Hurry! There’s no going back!""","""Koş! Acele et! Geri dönüş yok!"""
D_CS_StringTable/Str_SC1501_L1_0010_Doll,"""Help Shimizu Hinako, please.""","""Lütfen Shimizu Hinako'ya yardım et."""
D_CS_StringTable/Str_SC1504_L1_0111_Junko,It's far too late...,Çok geç artık...
D_CS_StringTable/Str_SC1202_L1_0120_Junko,This is for your own good.,Bu senin iyiliğin için.
D_CS_StringTable/Str_SC1006_L1_0270_Kanta,Prepare to witness...,Tanık olmaya hazırlanın...
D_CS_StringTable/Str_SC1005_L1_0590_Kanta,I'm so... so sorry!,Çok... çok üzgünüm!
D_CS_StringTable/Str_SC1004_L1_0430_Kimie,Not only that...,Sadece bu da değil...
D_CS_StringTable/Str_SC1006_L1_0230_NpcMan,"Do it, Kanta! You're the best!",Yap Kanta! Sen en iyisisin!
D_CS_StringTable/Str_SC0802_L1_0100_Hina,the next one...,bir sonraki...
D_CS_StringTable/Str_LQ1603_L1_0290_Sakuko,"Your turn, Rinko!","Sıra sende, Rinko!"
D_CS_StringTable/Str_SC0901_L1_0340_Junko,And...,Ve...
D_CS_StringTable/Str_SC1002_L1_0200_HinaPast,No...,Hayır...
D_CS_StringTable/Str_SC1605_L1_0450_HinaFox,No...,Hayır...
D_CS_StringTable/Str_SC0802_L1_0070_Hina,No...it just...,Hayır... sadece...
D_CS_StringTable/Str_SC1504_L1_0050_Hina,I have the RIGHT to exist!,Var olma HAKKIM var!
D_CS_StringTable/Str_SC0502_L1_0100_Rinko,"Hinako just tagged along behind us,
so she's just fine!","Hinako sadece arkamızda takıldı,
bu yüzden o iyi durumda!"
D_CS_StringTable/Str_SC1006_L2_0342_Hina,My parents? Don't you touch them!,Annemle babam mı? Onlara dokunmaya kalkma!
D_CS_StringTable/Str_SC1612_L1_0280_HinaFox,"What he's suffered... you will never understand.
You monster!","Onun ne çektiğini... asla anlamayacaksın.
Seni canavar!"
D_CS_StringTable/Str_LQ1601_L1_0060_Hina,Don't laugh!,Gülme!
D_CS_StringTable/Str_SC1612_L1_0260_HinaFox,Don't laugh!,Gülme!
D_CS_StringTable/Str_SC1605_L1_0510_Shuu,And what's worse is...,Ve daha da kötüsü...
D_CS_StringTable/Str_SC1001_L1_0310_HinaPast,Running and running...,Koşuyor ve koşuyorsun...
D_CS_StringTable/Str_SC0303_L1_0330_Shuu,"What do you mean, there's no way out?","Ne demek istiyorsun, çıkış yolu yok mu?"
D_CS_StringTable/Str_SC0102_L1_0010_Hina,Excuse me...,Afedersiniz...
D_CS_StringTable/Str_SC1001_L1_0450_Hina,"You're wrong!
He's my friend, he's special, my one and only partner!","Yanılıyorsun!
O benim arkadaşım, o özel, benim biricik ortağım!"
D_CS_StringTable/Str_SC1001_L1_0340_HinaPast,"Oh, and it's not going to end with you!
I'm going to kill mom and dad too!","Ah, seninle de bitmeyecek!
Anneyle babayı da öldüreceğim!"
D_CS_StringTable/Str_LQ0205_L1_0050_Hina,No...,Hayır...
D_CS_StringTable/Str_SC0504_L1_0010_Rinko,Hey.,Hey.
D_CS_StringTable/Str_SC1607_L1_0020_Koto,It is cold out.,Dışarısı soğuk.
